Bundesland;Jahr;Population
Baden-Württemberg;2019;11100394
Baden-Württemberg;2020;11103043
Baden-Württemberg;2021;11124642
Baden-Württemberg;2022;11167721
Baden-Württemberg;2023;11230740
Baden-Württemberg;2024;11245898

Bayern;2019;13124737
Bayern;2020;13140183
Bayern;2021;13176989
Bayern;2022;13105221
Bayern;2023;13176426
Bayern;2024;13248928

Berlin;2019;3669491
Berlin;2020;3664088
Berlin;2021;3677472
Berlin;2022;3632853
Berlin;2023;3662381
Berlin;2024;3685265

Brandenburg;2019;2521893
Brandenburg;2020;2531071
Brandenburg;2021;2537868
Brandenburg;2022;2545159
Brandenburg;2023;2554464
Brandenburg;2024;2556747

Bremen;2019;681202
Bremen;2020;680130
Bremen;2021;676463
Bremen;2022;695758
Bremen;2023;702655
Bremen;2024;704881

Hamburg;2019;1847253
Hamburg;2020;1852478
Hamburg;2021;1853935
Hamburg;2022;1832675
Hamburg;2023;1851596
Hamburg;2024;1862565

Hessen;2019;6288080
Hessen;2020;6293154
Hessen;2021;6295017
Hessen;2022;6236933
Hessen;2023;6267546
Hessen;2024;6280793

Mecklenburg-Vorpommern;2019;1608138
Mecklenburg-Vorpommern;2020;1610774
Mecklenburg-Vorpommern;2021;1611160
Mecklenburg-Vorpommern;2022;1576049
Mecklenburg-Vorpommern;2023;1578041
Mecklenburg-Vorpommern;2024;1573597

Niedersachsen;2019;7993608
Niedersachsen;2020;8003421
Niedersachsen;2021;8027031
Niedersachsen;2022;7982947
Niedersachsen;2023;8008135
Niedersachsen;2024;8004489

Nordrhein-Westfalen;2019;17947221
Nordrhein-Westfalen;2020;17925570
Nordrhein-Westfalen;2021;17924591
Nordrhein-Westfalen;2022;17964420
Nordrhein-Westfalen;2023;18017520
Nordrhein-Westfalen;2024;18034454

Rheinland-Pfalz;2019;4093903
Rheinland-Pfalz;2020;4098391
Rheinland-Pfalz;2021;4106485
Rheinland-Pfalz;2022;4108555
Rheinland-Pfalz;2023;4125163
Rheinland-Pfalz;2024;4129569

Saarland;2019;986887
Saarland;2020;983991
Saarland;2021;982348
Saarland;2022;1011891
Saarland;2023;1014047
Saarland;2024;1012141

Sachsen;2019;4071971
Sachsen;2020;4056941
Sachsen;2021;4043002
Sachsen;2022;4049967
Sachsen;2023;4054689
Sachsen;2024;4042422

Sachsen-Anhalt;2019;2194782
Sachsen-Anhalt;2020;2180684
Sachsen-Anhalt;2021;2169253
Sachsen-Anhalt;2022;2150239
Sachsen-Anhalt;2023;2144570
Sachsen-Anhalt;2024;2135597

Schleswig-Holstein;2019;2903773
Schleswig-Holstein;2020;2910875
Schleswig-Holstein;2021;2922005
Schleswig-Holstein;2022;2939283
Schleswig-Holstein;2023;2953202
Schleswig-Holstein;2024;2959517

Thüringen;2019;2133378
Thüringen;2020;2120237
Thüringen;2021;2108863
Thüringen;2022;2118830
Thüringen;2023;2114870
Thüringen;2024;2100277

Deutschland;2019;83155031
Deutschland;2020;83129285
Deutschland;2021;83237124
Deutschland;2022;84358845
Deutschland;2023;84500000
Deutschland;2024;84500000
